input_file	tokenizer	total_unk_tokens	total_non_pad_tokens
af_afribooms-ud-train	xlm-roberta-base	0	49519
ar_nyuad-ud-train	xlm-roberta-base	0	502991
ar_padt-ud-train	xlm-roberta-base	0	292287
be_hse-ud-train	xlm-roberta-base	123	555471
bg_btb-ud-train	xlm-roberta-base	0	177371
ca_ancora-ud-train	xlm-roberta-base	0	553857
cop_scriptorium-ud-train	xlm-roberta-base	14459	31837
cs_cac-ud-train	xlm-roberta-base	0	783029
cs_cltt-ud-train	xlm-roberta-base	0	24648
cs_fictree-ud-train	xlm-roberta-base	0	201706
cs_pdt-ud-train	xlm-roberta-base	0	1867771
cu_proiel-ud-train	xlm-roberta-base	76109	498417
da_ddt-ud-train	xlm-roberta-base	0	109130
de_gsd-ud-train	xlm-roberta-base	3	377238
el_gdt-ud-train	xlm-roberta-base	0	66432
en_ewt-ud-train	xlm-roberta-base	0	246522
en_gum-ud-train	xlm-roberta-base	1	195781
en_lines-ud-train	xlm-roberta-base	0	69363
en_partut-ud-train	xlm-roberta-base	0	52618
es_ancora-ud-train	xlm-roberta-base	0	553698
es_gsd-ud-train	xlm-roberta-base	3	477050
et_edt-ud-train	xlm-roberta-base	0	594870
eu_bdt-ud-train	xlm-roberta-base	0	120446
fa_seraji-ud-train	xlm-roberta-base	0	153295
fi_ftb-ud-train	xlm-roberta-base	0	237286
fi_tdt-ud-train	xlm-roberta-base	0	297948
fr_gsd-ud-train	xlm-roberta-base	2	475073
fr_partut-ud-train	xlm-roberta-base	0	29858
fr_sequoia-ud-train	xlm-roberta-base	0	68889
ga_idt-ud-train	xlm-roberta-base	0	151108
gl_ctg-ud-train	xlm-roberta-base	0	91639
gl_treegal-ud-train	xlm-roberta-base	0	17820
got_proiel-ud-train	xlm-roberta-base	823	78974
grc_perseus-ud-train	xlm-roberta-base	3636	502718
grc_proiel-ud-train	xlm-roberta-base	1809	619576
he_htb-ud-train	xlm-roberta-base	0	163215
hi_hdtb-ud-train	xlm-roberta-base	0	361894
hr_set-ud-train	xlm-roberta-base	0	226755
hu_szeged-ud-train	xlm-roberta-base	0	33047
hy_armtdp-ud-train	xlm-roberta-base	0	71147
id_gsd-ud-train	xlm-roberta-base	6	124763
it_isdt-ud-train	xlm-roberta-base	0	337098
it_partut-ud-train	xlm-roberta-base	0	58758
it_postwita-ud-train	xlm-roberta-base	8	157711
ja_bccwj-ud-train	xlm-roberta-base	0	73275
ja_gsd-ud-train	xlm-roberta-base	31	176363
ko_gsd-ud-train	xlm-roberta-base	18	115918
ko_kaist-ud-train	xlm-roberta-base	81	598354
la_ittb-ud-train	xlm-roberta-base	0	574074
la_perseus-ud-train	xlm-roberta-base	0	29254
la_proiel-ud-train	xlm-roberta-base	9	278378
lv_lvtb-ud-train	xlm-roberta-base	0	427864
nl_alpino-ud-train	xlm-roberta-base	0	255884
nl_lassysmall-ud-train	xlm-roberta-base	0	340563
no_bokmaal-ud-train	xlm-roberta-base	0	322300
no_nynorsk-ud-train	xlm-roberta-base	0	355606
pl_lfg-ud-train	xlm-roberta-base	0	164966
pt_bosque-ud-train	xlm-roberta-base	0	205860
pt_gsd-ud-train	xlm-roberta-base	0	297347
ro_nonstandard-ud-train	xlm-roberta-base	0	850905
ro_rrt-ud-train	xlm-roberta-base	0	270752
ru_gsd-ud-train	xlm-roberta-base	2	120978
ru_syntagrus-ud-train	xlm-roberta-base	0	1791858
ru_taiga-ud-train	xlm-roberta-base	8	262792
sk_snk-ud-train	xlm-roberta-base	0	128530
sl_ssj-ud-train	xlm-roberta-base	0	315823
sl_sst-ud-train	xlm-roberta-base	0	116207
sme_giella-ud-train	xlm-roberta-base	0	40483
sr_set-ud-train	xlm-roberta-base	0	111673
sv_lines-ud-train	xlm-roberta-base	0	75971
sv_talbanken-ud-train	xlm-roberta-base	0	95547
ta_ttb-ud-train	xlm-roberta-base	0	11484
tr_imst-ud-train	xlm-roberta-base	0	58642
ug_udt-ud-train	xlm-roberta-base	0	40852
uk_iu-ud-train	xlm-roberta-base	0	148651
ur_udtb-ud-train	xlm-roberta-base	0	138966
vi_vtb-ud-train	xlm-roberta-base	0	29163
zh_gsd-ud-train	xlm-roberta-base	88	116685
